timestamp,speed,steering_angle,direction,ultrasonic,Infrared
1763721854.3856816,22,135,1,36,4
1763721854.426924,22,135,1,37,4
1763721854.4886255,22,135,1,36,4
1763721854.5305822,30,110,1,37,3
1763721854.5689504,30,110,1,36,3
1763721854.6072721,30,90,1,36,2
1763721854.6458132,30,90,1,35,1
1763721854.6841877,30,70,1,34,1
1763721854.7222402,22,45,1,35,0
1763721854.7601593,22,45,1,34,0
1763721854.7980165,22,45,1,34,0
1763721854.8360546,22,45,1,35,0
1763721854.8743558,22,45,1,38,0
1763721855.0666513,0,135,0,130,0
1763721855.3885348,30,135,-1,35,3
1763721855.4035676,30,135,-1,39,3
1763721855.4186924,30,135,-1,37,4
1763721855.4726584,22,135,1,36,4
1763721855.5243914,22,135,1,41,4
1763721855.5731342,22,135,1,40,4
1763721855.6312308,22,135,1,41,4
1763721855.6698022,22,135,1,40,4
1763721855.7080326,22,135,1,37,4
1763721855.7462988,22,135,1,35,4
1763721855.7846355,22,135,1,35,4
1763721855.8229825,30,110,1,39,3
1763721855.8617206,30,110,1,36,3
1763721855.9005375,30,90,1,38,2
1763721855.939814,30,90,1,33,1
1763721856.0270622,22,45,1,-2,0
1763721856.0671983,22,45,1,37,0
1763721856.1080005,22,45,1,-4,0
1763721856.2041492,22,45,1,-2,0
1763721856.303401,22,45,1,215,0
1763721856.4161518,22,45,1,-2,0
1763721856.5125334,22,45,1,212,0
1763721856.5788705,22,45,1,276,0
1763721856.6461277,22,45,1,276,0
1763721856.7056537,22,45,1,187,0
1763721856.7709138,22,45,1,-4,0
1763721856.9404013,0,135,0,275,0
1763721857.309266,30,135,-1,-2,2
1763721857.3371482,30,135,-1,272,2
1763721857.365192,30,135,-1,272,3
1763721857.4315252,30,110,1,274,4
1763721857.5000389,22,135,1,278,4
1763721857.5568342,22,135,1,194,4
1763721857.6180685,22,135,1,272,4
1763721857.6746082,30,110,1,187,3
1763721857.7407317,30,110,1,272,2
1763721857.8166625,30,90,1,216,2
1763721857.8842227,30,70,1,273,0
1763721857.9444156,22,45,1,-4,0
1763721858.011924,22,45,1,273,0
1763721858.0728226,22,45,1,-4,0
1763721858.1444702,22,45,1,-4,0
1763721858.2135801,22,45,1,188,0
1763721858.2771714,30,90,1,186,2
1763721858.3436964,30,90,1,268,2
1763721858.4047043,30,90,1,181,2
1763721858.4662125,30,90,1,179,2
1763721858.5677786,30,90,1,-4,2
1763721858.6980116,30,90,1,-4,2
1763721858.7784786,30,90,1,-4,2
1763721858.8859465,30,90,1,80,2
1763721858.9441805,30,90,1,169,2
1763721858.9980419,22,45,1,173,0
1763721859.053715,22,45,1,170,0
1763721859.1077502,22,45,1,168,1
1763721859.161497,30,70,1,167,1
1763721859.2150333,30,70,1,166,2
1763721859.2688212,30,90,1,165,2
1763721859.322105,30,110,1,166,3
1763721859.376082,30,110,1,162,4
1763721859.442139,22,135,1,131,4
1763721859.607428,0,45,0,161,2
1763721859.9370716,30,45,-1,164,2
1763721859.9586604,30,45,-1,165,2
1763721859.9804144,30,45,-1,166,2
1763721860.033755,30,70,1,166,1
1763721860.0932493,30,70,1,168,1
1763721860.150081,30,70,1,167,1
1763721860.2083728,30,70,1,167,1
1763721860.2637904,30,90,1,165,2
1763721860.3252966,30,90,1,164,2
1763721860.386578,30,110,1,-4,3
1763721860.4492478,22,135,1,161,4
1763721860.50464,22,135,1,162,4
1763721860.5595675,22,135,1,160,4
1763721860.6127248,22,135,1,161,4
1763721860.668081,22,135,1,-4,4
1763721860.825595,0,45,0,159,1
1763721861.1544065,30,45,-1,167,2
1763721861.1759632,30,45,-1,163,2
1763721861.1986766,30,45,-1,163,2
1763721861.253568,30,70,1,171,1
1763721861.3128324,30,70,1,164,1
1763721861.366083,30,70,1,164,1
1763721861.4200122,30,70,1,163,1
1763721861.4748528,30,90,1,168,2
1763721861.5301368,30,90,1,164,2
1763721861.584194,30,110,1,160,3
1763721861.6474338,30,110,1,159,4
1763721861.7003841,22,135,1,157,4
1763721861.7530022,22,135,1,157,4
1763721861.8112447,22,135,1,160,4
1763721861.8668537,22,135,1,-4,4
1763721861.9254665,22,135,1,159,4
1763721861.9836838,22,135,1,156,4
1763721862.0566454,22,135,1,156,4
1763721862.1131175,22,135,1,156,4
1763721862.168518,22,135,1,156,4
1763721862.2240736,22,135,1,156,4
1763721862.2767978,22,135,1,158,4
1763721862.3295214,22,135,1,163,4
1763721862.3856072,22,135,1,157,4
1763721862.5453851,0,45,0,156,3
1763721862.87417,30,45,-1,165,2
1763721862.9003005,30,45,-1,242,2
1763721862.922635,30,45,-1,166,2
1763721862.9762402,30,70,1,168,1
1763721863.0415292,30,70,1,200,1
1763721863.100833,30,70,1,166,1
1763721863.1589136,30,70,1,250,1
1763721863.2123485,30,70,1,165,2
1763721863.2653365,30,90,1,160,2
1763721863.3180454,30,90,1,160,2
1763721863.37041,30,90,1,158,2
1763721863.4268758,30,90,1,156,3
1763721863.483023,30,110,1,161,3
1763721863.5803573,30,110,1,-4,3
1763721863.7500553,0,45,0,-4,4
1763721864.0897212,30,45,-1,161,2
1763721864.1110861,30,45,-1,161,2
1763721864.1326663,30,45,-1,163,2
1763721864.179383,30,90,1,-4,1
1763721864.236847,30,70,1,241,1
1763721864.2915454,30,70,1,162,1
1763721864.3616385,30,70,1,242,2
1763721864.431215,30,90,1,-4,2
1763721864.4949834,30,90,1,158,2
1763721864.553857,30,90,1,153,2
1763721864.6057184,30,110,1,152,3
1763721864.6584496,30,110,1,161,3
1763721864.7106547,30,110,1,150,3
1763721864.762387,30,110,1,151,3
1763721864.8138516,30,110,1,149,3
1763721864.8652017,30,110,1,149,3
1763721864.9171221,30,110,1,155,3
1763721864.968336,30,110,1,145,3
1763721865.0344872,30,110,1,150,3
1763721865.085758,30,110,1,146,3
1763721865.1381776,30,110,1,146,2
1763721865.1892571,30,90,1,146,2
1763721865.2434707,30,90,1,143,2
1763721865.3019252,30,90,1,141,2
1763721865.3596637,30,90,1,140,2
1763721865.4166706,30,90,1,142,2
1763721865.4774072,30,90,1,139,2
1763721865.5384386,30,90,1,140,2
1763721865.6023724,30,90,1,137,2
1763721865.6609292,30,90,1,141,1
1763721865.7208614,30,70,1,137,1
1763721865.77898,30,70,1,-4,1
1763721865.839767,30,70,1,135,1
1763721865.8896668,30,70,1,133,1
1763721865.9391818,22,45,1,131,0
1763721865.988634,22,45,1,132,0
1763721866.0393653,22,45,1,131,0
1763721866.088792,22,45,1,130,1
1763721866.1379757,30,70,1,129,1
1763721866.1875415,30,70,1,129,1
1763721866.242365,30,70,1,128,1
1763721866.2930493,30,70,1,-4,1
1763721866.34274,30,70,1,126,1
1763721866.3944497,30,70,1,127,1
1763721866.4480383,30,70,1,93,1
1763721866.5041616,30,70,1,124,1
1763721866.5583088,30,70,1,124,1
1763721866.6149642,30,70,1,124,1
1763721866.6696794,30,70,1,123,1
1763721866.7239816,30,70,1,121,1
1763721866.7801795,30,70,1,121,1
1763721866.8431778,30,70,1,122,0
1763721866.8982904,22,45,1,107,0
1763721866.9558973,22,45,1,-4,0
1763721867.0064638,22,45,1,103,0
1763721867.0567694,22,45,1,107,0
1763721867.1064148,22,45,1,105,0
1763721867.1572783,22,45,1,106,0
1763721867.2064836,22,45,1,107,0
1763721867.2561088,22,45,1,105,0
1763721867.3063533,22,45,1,108,0
1763721867.3595827,22,45,1,113,0
1763721867.4064643,22,45,1,104,0
1763721867.4530158,22,45,1,108,0
1763721867.50546,22,45,1,104,0
1763721867.5616078,22,45,1,-4,0
1763721867.608799,22,45,1,104,0
1763721867.6570344,22,45,1,-4,0
1763721867.714682,22,45,1,115,0
1763721867.768358,22,45,1,98,0
1763721867.8212163,22,45,1,109,0
1763721867.8726423,22,45,1,97,0
1763721867.9243271,22,45,1,106,0
1763721867.9816067,22,45,1,96,0
1763721868.032465,22,45,1,94,0
1763721868.0857706,22,45,1,-4,0
1763721868.140726,22,45,1,-4,0
1763721868.1981301,22,45,1,-4,0
1763721868.25054,22,45,1,95,0
1763721868.3031623,22,45,1,92,0
1763721868.3547246,22,45,1,97,0
1763721868.4053574,22,45,1,92,0
1763721868.4560513,22,45,1,91,0
1763721868.5119731,22,45,1,92,0
1763721868.5668063,22,45,1,96,0
1763721868.6290803,22,45,1,-4,0
1763721868.739246,22,45,1,171,1
1763721868.9353144,30,70,1,-4,1
1763721868.987668,30,70,1,88,1
1763721869.0350492,30,70,1,-4,1
1763721869.079461,30,90,1,89,2
1763721869.1243432,30,90,1,90,2
1763721869.169229,30,90,1,94,2
1763721869.215889,30,90,1,120,2
1763721869.2646585,22,45,1,116,0
1763721869.3101978,22,45,1,91,2
1763721869.35452,30,70,1,92,1
1763721869.3985083,30,70,1,86,1
1763721869.4429562,30,70,1,90,2
1763721869.4912727,30,90,1,124,2
1763721869.5363326,30,110,1,90,3
1763721869.58263,30,110,1,91,3
1763721869.630016,30,110,1,89,3
1763721869.6758344,30,110,1,122,3
1763721869.766841,30,110,1,-2,2
1763721869.8108613,30,90,1,87,2
1763721869.8541079,30,90,1,80,2
1763721869.8975341,30,90,1,84,2
1763721869.9410613,30,90,1,80,2
1763721869.992967,30,90,1,84,2
1763721870.0475163,22,135,1,84,4
1763721870.102459,22,135,1,62,4
1763721870.1620798,22,135,1,82,1
1763721870.2163932,30,70,1,84,1
1763721870.2627172,30,70,1,75,1
1763721870.30571,22,45,1,80,0
1763721870.3494349,22,45,1,80,0
1763721870.3931096,22,45,1,80,0
1763721870.4367175,22,45,1,81,4
1763721870.484695,22,135,1,120,4
1763721870.5494623,22,135,1,83,4
1763721870.5951042,30,70,1,82,1
1763721870.6429293,30,70,1,117,1
1763721870.7377646,22,135,1,-2,1
1763721870.831896,30,70,1,120,1
1763721870.8835053,30,70,1,78,0
1763721870.9556773,22,45,1,120,0
1763721871.0168211,22,45,1,172,0
1763721871.150141,30,70,1,-2,1
1763721871.2085433,30,70,1,303,1
1763721871.3423986,30,70,1,-2,1
1763721871.476051,30,70,1,-2,1
1763721871.5275404,30,70,1,-4,1
1763721871.5862837,30,70,1,154,1
1763721871.6785877,30,70,1,-2,0
1763721871.7289946,22,45,1,140,0
1763721871.7787995,22,45,1,131,0
1763721871.8288774,22,45,1,137,0
1763721871.8785431,22,45,1,137,0
1763721871.9284713,22,45,1,136,0
1763721871.9780645,22,45,1,133,0
1763721872.027968,22,45,1,138,0
1763721872.084798,22,45,1,145,0
1763721872.1389055,22,45,1,130,0
1763721872.188234,22,45,1,127,0
1763721872.2378767,22,45,1,129,0
1763721872.2872205,22,45,1,130,0
1763721872.3375604,22,45,1,140,0
1763721872.389062,22,45,1,162,0
1763721872.4453003,22,45,1,218,0
1763721872.5005095,22,45,1,215,0
1763721872.5554593,22,45,1,132,0
1763721872.6082335,22,45,1,123,0
1763721872.673044,22,45,1,99,0
1763721872.7252905,22,45,1,-4,0
1763721872.7796235,22,45,1,135,0
1763721872.8294983,22,45,1,96,0
1763721872.8856978,22,45,1,138,0
1763721872.9417043,22,45,1,214,0
1763721872.9883857,22,45,1,97,0
1763721873.0488672,22,45,1,214,0
1763721873.1092644,22,45,1,216,0
1763721873.1695476,22,45,1,214,0
1763721873.2226021,22,45,1,211,0
1763721873.2836068,22,45,1,-4,0
1763721873.3487668,22,45,1,-4,0
1763721873.4029813,22,45,1,-4,0
1763721873.4610395,22,45,1,86,0
1763721873.509774,22,45,1,86,0
1763721873.5850048,22,45,1,-4,0
1763721873.7287557,22,45,1,-4,0
1763721873.8245397,22,45,1,82,0
1763721873.875139,22,45,1,82,0
1763721873.9260905,22,45,1,-4,0
1763721873.9717102,22,45,1,81,0
1763721874.0164628,22,45,1,82,0
1763721874.0644221,22,45,1,80,0
1763721874.1172554,22,45,1,79,0
1763721874.1618164,22,45,1,79,0
1763721874.2059,22,45,1,79,0
1763721874.2554176,22,45,1,79,0
1763721874.3076458,22,45,1,79,0
1763721874.3599112,22,45,1,77,0
1763721874.4165606,22,45,1,77,1
1763721874.4917307,30,70,1,-4,1
1763721874.5443192,30,70,1,76,1
1763721874.5896206,30,70,1,76,1
1763721874.6322906,30,70,1,75,1
1763721874.674968,30,70,1,74,1
1763721874.7176683,30,70,1,73,1
1763721874.7642603,30,70,1,73,1
1763721874.806502,30,70,1,72,1
1763721874.8486252,30,70,1,71,0
1763721874.8906314,22,45,1,70,0
1763721874.9325712,22,45,1,70,0
1763721874.9778998,22,45,1,69,0
1763721875.025692,22,45,1,70,0
1763721875.0772157,22,45,1,70,0
1763721875.129571,22,45,1,68,0
1763721875.1719985,30,70,1,68,1
1763721875.2146113,30,70,1,68,1
1763721875.2638786,30,70,1,67,1
1763721875.313315,30,70,1,66,1
1763721875.3673124,30,70,1,67,1
1763721875.4186904,30,70,1,65,1
1763721875.4676511,30,70,1,65,1
1763721875.5256152,30,70,1,64,1
1763721875.567275,30,70,1,64,1
1763721875.6106136,30,70,1,63,1
1763721875.656381,30,70,1,63,1
1763721875.6992974,30,70,1,62,1
1763721875.742406,30,70,1,62,1
1763721875.7837994,30,70,1,62,1
1763721875.8255773,30,70,1,62,1
1763721875.8670669,30,70,1,61,1
1763721875.9084463,30,70,1,61,1
1763721875.9498386,30,70,1,61,1
1763721875.9911892,30,70,1,61,0
1763721876.032509,22,45,1,61,0
1763721876.0812848,22,45,1,62,0
1763721876.126652,22,45,1,61,0
1763721876.168388,22,45,1,62,0
1763721876.219397,22,45,1,60,0
1763721876.276319,22,45,1,63,0
1763721876.3257408,22,45,1,67,0
1763721876.3751957,22,45,1,62,0
1763721876.4242363,22,45,1,67,0
1763721876.4713314,22,45,1,61,0
1763721876.5179431,22,45,1,60,0
1763721876.5699997,22,45,1,69,0
1763721876.616928,22,45,1,62,0
1763721876.658478,22,45,1,67,0
1763721876.7003806,22,45,1,67,0
1763721876.7421963,22,45,1,60,0
1763721876.7842376,22,45,1,67,0
1763721876.8340921,22,45,1,-4,0
1763721876.8751192,22,45,1,60,0
1763721876.9171164,22,45,1,62,0
1763721876.958169,22,45,1,60,0
1763721877.0023055,22,45,1,63,0
1763721877.0466442,22,45,1,114,0
1763721877.08892,22,45,1,59,0
1763721877.1303678,22,45,1,65,0
1763721877.1718972,22,45,1,62,0
1763721877.213757,22,45,1,64,0
1763721877.2555392,30,70,1,64,1
1763721877.2967112,30,70,1,57,1
1763721877.3420534,30,70,1,58,1
1763721877.3928604,30,70,1,56,1
1763721877.442005,30,70,1,56,1
1763721877.503885,30,70,1,101,1
1763721877.553357,30,70,1,60,1
1763721877.6065798,30,70,1,61,1
1763721877.657874,30,70,1,54,1
1763721877.704739,30,70,1,51,1
1763721877.745665,30,90,1,51,2
1763721877.78988,30,90,1,55,2
1763721877.839527,30,90,1,214,2
1763721877.8904333,30,90,1,215,2
1763721877.9449706,30,90,1,139,2
1763721878.0100336,22,45,1,209,2
1763721878.0673509,30,70,1,-4,2
1763721878.1194952,30,90,1,76,2
1763721878.1616206,30,90,1,54,3
1763721878.202399,30,110,1,53,4
1763721878.246059,22,135,1,102,2
1763721878.3043602,30,90,1,206,2
1763721878.3557193,30,90,1,81,2
1763721878.414512,30,90,1,204,2
1763721878.4759805,30,90,1,204,1
1763721878.5351887,30,70,1,74,1
1763721878.5959196,30,70,1,53,1
1763721878.6576788,30,70,1,-4,1
1763721878.7520533,30,70,1,-4,1
1763721878.8268232,30,70,1,-4,1
1763721879.0222692,30,70,1,-2,1
1763721879.0803862,30,70,1,204,1
1763721879.13682,30,70,1,182,1
1763721879.189828,30,70,1,251,1
1763721879.2398312,30,70,1,193,2
1763721879.290991,30,90,1,192,2
1763721879.349175,30,70,1,194,1
1763721879.3986232,30,70,1,193,1
1763721879.4563873,30,70,1,193,1
1763721879.5077496,30,70,1,66,1
1763721879.5611231,30,70,1,65,1
1763721879.6142612,30,70,1,-4,1
1763721879.6630754,30,90,1,191,2
1763721879.7199702,30,90,1,190,2
1763721879.7772107,30,70,1,199,1
1763721879.8349307,30,70,1,238,1
1763721879.8995173,30,70,1,239,1
1763721879.9561276,30,70,1,231,1
1763721879.9970338,30,70,1,58,1
1763721880.0477216,30,70,1,230,1
1763721880.0992777,30,70,1,149,1
1763721880.1559832,22,45,1,228,0
1763721880.2097328,22,45,1,151,0
1763721880.262704,22,45,1,147,0
1763721880.3201926,22,45,1,145,0
1763721880.3776188,22,45,1,151,0
1763721880.4343731,22,45,1,150,0
1763721880.4966297,22,45,1,142,0
1763721880.5589132,22,45,1,150,0
1763721880.6222796,22,45,1,141,0
1763721880.6820726,22,45,1,141,0
1763721880.7504938,22,45,1,159,0
1763721880.812168,22,45,1,-4,0
1763721880.8692613,22,45,1,141,0
1763721880.9280736,22,45,1,137,0
1763721880.9792511,22,45,1,140,0
1763721881.0295556,22,45,1,139,0
1763721881.080061,22,45,1,138,0
1763721881.1305587,22,45,1,142,0
1763721881.1806185,22,45,1,138,0
1763721881.230832,22,45,1,133,0
1763721881.280678,22,45,1,135,0
1763721881.3307486,22,45,1,81,0
1763721881.3837616,22,45,1,-4,0
1763721881.4353268,22,45,1,133,0
1763721881.4848664,22,45,1,132,0
1763721881.5342882,22,45,1,132,0
1763721881.5837774,22,45,1,130,0
1763721881.633961,22,45,1,131,0
1763721881.6889198,22,45,1,-4,0
1763721881.7442863,22,45,1,130,0
1763721881.800006,22,45,1,130,0
1763721881.8555977,22,45,1,128,0
1763721881.9116795,22,45,1,129,0
1763721881.9672341,22,45,1,81,0
1763721882.0513215,22,45,1,126,0
1763721882.1016917,22,45,1,126,0
1763721882.1531959,22,45,1,127,0
1763721882.2047145,22,45,1,125,0
1763721882.2595718,22,45,1,125,0
1763721882.3105075,22,45,1,125,0
1763721882.361424,22,45,1,-4,0
1763721882.4104638,22,45,1,122,0
1763721882.4589446,22,45,1,122,0
1763721882.5087657,22,45,1,122,0
1763721882.5624607,22,45,1,123,0
1763721882.6174264,22,45,1,-4,0
1763721882.667517,22,45,1,123,0
1763721882.7189386,22,45,1,121,0
1763721882.8684943,0,135,0,122,0
1763721883.1976485,30,135,-1,124,2
1763721883.216912,30,135,-1,124,2
1763721883.2362242,30,135,-1,124,2
1763721883.2848287,30,90,1,126,3
1763721883.333397,30,110,1,125,3
1763721883.382089,30,110,1,126,3
1763721883.4307168,30,110,1,125,3
1763721883.4794211,30,110,1,125,2
1763721883.5276058,30,90,1,124,2
1763721883.5835066,30,90,1,-4,2
1763721883.7081463,30,70,1,82,1
1763721883.829942,22,45,1,-4,0
1763721883.899769,22,45,1,-4,0
1763721883.9567766,22,45,1,120,0
1763721884.0047214,22,45,1,118,0
1763721884.1631424,0,135,0,119,0
1763721884.4994025,30,135,-1,-4,2
1763721884.5185409,30,135,-1,120,3
1763721884.5380516,30,135,-1,124,3
1763721884.586379,30,110,1,124,4
1763721884.6373115,22,135,1,118,4
1763721884.683704,22,135,1,108,4
1763721884.7320747,22,135,1,106,4
1763721884.7804918,22,135,1,122,4
1763721884.8291063,22,135,1,118,4
1763721884.8774428,30,110,1,106,3
1763721884.9265406,30,110,1,124,3
1763721884.9744375,30,110,1,104,2
1763721885.0225735,30,90,1,104,2
1763721885.0733018,30,90,1,121,1
1763721885.122386,30,70,1,122,1
1763721885.1713698,30,70,1,115,0
1763721885.231832,22,45,1,102,0
1763721885.2864022,22,45,1,106,0
1763721885.3337872,22,45,1,104,0
1763721885.3825254,22,45,1,105,0
1763721885.433973,22,45,1,105,0
1763721885.482677,22,45,1,107,0
1763721885.5298162,22,45,1,104,0
1763721885.5775785,22,45,1,-4,0
1763721885.624144,22,45,1,105,0
1763721885.6724005,22,45,1,95,0
1763721885.7228894,22,45,1,102,0
1763721885.769792,22,45,1,96,0
1763721885.8163843,22,45,1,94,0
1763721885.8628395,22,45,1,95,0
1763721885.9088457,22,45,1,93,0
1763721885.9598508,22,45,1,94,0
1763721886.0066526,22,45,1,94,0
1763721886.0685604,22,45,1,93,0
1763721886.1201453,22,45,1,92,0
1763721886.1653821,22,45,1,97,0
1763721886.2174997,22,45,1,-4,0
1763721886.2623663,22,45,1,93,0
1763721886.307633,22,45,1,95,0
1763721886.3526506,22,45,1,92,0
1763721886.398759,22,45,1,94,0
1763721886.4451106,22,45,1,92,0
1763721886.4896834,22,45,1,91,0
1763721886.534199,22,45,1,88,0
1763721886.5787792,22,45,1,89,0
1763721886.6231153,22,45,1,88,0
1763721886.673134,30,70,1,89,1
1763721886.7176292,30,70,1,88,1
1763721886.7686322,30,70,1,87,1
1763721886.814874,30,70,1,85,1
1763721886.8679872,30,70,1,89,1
1763721886.9213393,30,70,1,87,2
1763721886.9729607,30,90,1,85,2
1763721887.0259302,30,90,1,82,0
1763721887.079647,22,45,1,88,0
1763721887.1308534,30,90,1,86,1
1763721887.1819856,30,70,1,85,1
1763721887.2399561,30,70,1,87,2
1763721887.2916307,30,90,1,86,2
1763721887.3465948,30,90,1,81,3
1763721887.405444,30,110,1,87,3
1763721887.456032,30,110,1,126,3
1763721887.5019484,30,90,1,89,2
1763721887.552361,30,90,1,113,2
1763721887.6024232,30,90,1,86,2
1763721887.6474292,30,90,1,85,2
1763721887.6998274,30,90,1,80,2
1763721887.7451706,22,135,1,87,2
1763721887.7921822,22,135,1,-4,4
1763721887.8391302,22,135,1,115,4
1763721887.9353392,30,70,1,-2,1
1763721887.984003,30,70,1,77,0
1763721888.0329776,22,45,1,74,0
1763721888.0771413,22,45,1,76,4
1763721888.122213,22,135,1,83,4
1763721888.1732788,22,135,1,84,1
1763721888.2236567,30,70,1,80,1
1763721888.2745366,30,70,1,82,1
1763721888.32732,30,70,1,80,1
1763721888.467338,30,70,1,-2,1
1763721888.5339692,0,90,0,-2,1
